h,s,rmse
5,2,49.745643615722656
5,3,113.35177612304688
5,4,101.22954559326172
5,8,115.48119354248047
5,16,89.89204406738281
5,32,58.822052001953125
5,64,78.83104705810547
5,128,68.84031677246094
5,256,76.95014953613281
5,512,88.52838134765625
5,1024,118.56756591796875
5,2048,118.06660461425781
5,4000,107.23888397216797
5,5000,95.52386474609375
10,2,83.01942443847656
10,3,94.16874694824219
10,4,105.98002624511719
10,8,130.39501953125
10,16,104.92713928222656
10,32,69.80195617675781
10,64,82.45769500732422
10,128,98.42317199707031
10,256,128.60260009765625
10,512,111.38908386230469
10,1024,129.21963500976562
10,2048,138.13998413085938
10,4000,134.0706329345703
10,5000,140.32723999023438
20,2,70.38788604736328
20,3,15.442967414855957
20,4,45.25315475463867
20,8,64.0577621459961
20,16,44.580101013183594
20,32,31.914236068725586
20,64,77.41870880126953
20,128,27.202390670776367
20,256,35.76645278930664
20,512,17.461240768432617
20,1024,25.192121505737305
20,2048,18.553621292114258
20,4000,33.782344818115234
20,5000,16.53917694091797
30,2,70.19788360595703
30,3,21.0638484954834
30,4,9.301485061645508
30,8,6.230321407318115
30,16,2.282510280609131
30,32,0.36048421263694763
30,64,0.3350304663181305
30,128,0.27919143438339233
30,256,0.27351832389831543
30,512,0.4681449830532074
30,1024,0.7220428586006165
30,2048,1.3410537242889404
30,4000,0.7768649458885193
30,5000,0.9358993172645569
40,2,63.9497184753418
40,3,9.13060474395752
40,4,4.317423343658447
40,8,0.3265184760093689
40,16,0.1400364488363266
40,32,0.0937809869647026
40,64,0.09141597151756287
40,128,0.08793102204799652
40,256,0.08801538497209549
40,512,0.09447506070137024
40,1024,0.0923445075750351
40,2048,0.0855436697602272
40,4000,0.09799378365278244
40,5000,0.11200301349163055
50,2,66.48544311523438
50,3,5.872004508972168
50,4,3.7982988357543945
50,8,0.16868209838867188
50,16,0.10873028635978699
50,32,0.06554745882749557
50,64,0.06579551100730896
50,128,0.05366375669836998
50,256,0.05360587686300278
50,512,0.05262129753828049
50,1024,0.053118105977773666
50,2048,0.056718070060014725
50,4000,0.0542726032435894
50,5000,0.05710652843117714
60,2,65.4929428100586
60,3,2.2513833045959473
60,4,0.16345806419849396
60,8,0.08800605684518814
60,16,0.06392591446638107
60,32,0.058021169155836105
60,64,0.05182713642716408
60,128,0.048165302723646164
60,256,0.04643474146723747
60,512,0.0455084927380085
60,1024,0.046487659215927124
60,2048,0.04703850671648979
60,4000,0.04665069282054901
60,5000,0.04552339017391205
70,2,63.95487594604492
70,3,3.7577123641967773
70,4,0.1986847221851349
70,8,0.1141880676150322
70,16,0.06314180791378021
70,32,0.05344720557332039
70,64,0.04768873751163483
70,128,0.047551702708005905
70,256,0.04622569680213928
70,512,0.04480120912194252
70,1024,0.04437141492962837
70,2048,0.044571004807949066
70,4000,0.04498129338026047
70,5000,0.044951606541872025
80,2,64.46448516845703
80,3,2.7245712280273438
80,4,0.21958450973033905
80,8,0.09844718873500824
80,16,0.0795893669128418
80,32,0.06267771124839783
80,64,0.05625366419553757
80,128,0.051297400146722794
80,256,0.04681984707713127
80,512,0.0436176136136055
80,1024,0.04410376399755478
80,2000,0.04405210167169571
80,2048,0.0438937209546566
80,4000,0.044197577983140945
80,5000,0.04433899372816086
90,3000,0.044106632471084595
90,6000,0.043428875505924225
90,7000,0.043640490621328354
90,8000,0.04395480453968048
100,3000,0.04436210170388222
100,6000,0.0436030812561512
100,7000,0.04309257119894028
100,8000,0.04337958246469498
110,3000,0.044853176921606064
110,6000,0.04301217570900917
110,7000,0.04278245195746422
110,8000,0.042318493127822876
120,3000,0.044831130653619766
120,6000,0.044480565935373306
120,7000,0.04306924343109131
120,8000,0.04275985062122345
